ch0,ch1,ch2,ch3
-9.44E-06,0.000203093,-3.06E-05,2.64E-05
-9.38E-06,0.000202988,-3.06E-05,2.64E-05
-9.41E-06,0.000203077,-2.89E-05,2.61E-05
-9.39E-06,0.000203051,-1.82E-05,4.69E-05
5.73E-06,0.000227337,-5.12E-06,4.73E-05
1.08E-05,0.000225942,-7.13E-06,4.85E-05
1.19E-05,0.000225401,-7.39E-06,4.85E-05
1.04E-05,0.000225622,-7.93E-06,4.76E-05
5.21E-06,0.000212404,-3.02E-05,2.64E-05
-9.53E-06,0.000202998,-3.07E-05,2.64E-05
-9.53E-06,0.000203026,-3.06E-05,2.64E-05
-9.51E-06,0.000202951,-3.05E-05,2.64E-05
-9.47E-06,0.000202928,-3.06E-05,2.65E-05
-9.16E-06,0.00022341,-1.52E-05,5.27E-05
1.22E-05,0.000224826,-1.06E-05,4.93E-05
1.33E-05,0.000224133,-1.09E-05,4.84E-05
1.43E-05,0.00022422,-1.02E-05,4.94E-05
1.45E-05,0.000224673,-9.91E-06,4.97E-05
1.44E-05,0.000224831,-1.02E-05,4.41E-05
2.32E-07,0.000205426,-3.06E-05,2.64E-05
-9.48E-06,0.000203012,-3.06E-05,2.65E-05
-9.52E-06,0.000202967,-3.06E-05,2.64E-05
-9.42E-06,0.000203108,-3.06E-05,2.64E-05
1.36E-06,0.000218441,-9.97E-06,4.95E-05
1.18E-05,0.000227381,-8.37E-06,4.87E-05
1.24E-05,0.000226678,-8.78E-06,4.84E-05
1.25E-05,0.000226092,-9.01E-06,4.88E-05
1.25E-05,0.000225977,-8.97E-06,4.89E-05
1.26E-05,0.000225932,-7.32E-06,3.89E-05
-8.98E-06,0.000203021,-3.06E-05,2.65E-05
-9.54E-06,0.000203029,-3.06E-05,2.64E-05
-9.42E-06,0.000202957,-3.06E-05,2.64E-05
2.85E-05,0.000210585,-1.59E-05,4.93E-05
1.65E-05,0.000224966,-1.35E-05,4.96E-05
1.47E-05,0.000224316,-1.32E-05,4.89E-05
1.47E-05,0.000224381,-1.26E-05,4.83E-05
1.50E-05,0.000224276,-1.23E-05,4.86E-05
1.49E-05,0.000224368,-1.23E-05,4.67E-05
-2.79E-06,0.000202918,-3.08E-05,2.64E-05
